date	freq
2015-06-01	222
2015-06-02	218
2015-06-03	339
2015-06-04	211
2015-06-05	183
2015-06-06	232
2015-06-07	262
2015-06-08	191
2015-06-09	92
2015-06-10	174
2015-06-11	240
2015-06-12	151
2015-06-13	178
2015-06-14	156
2015-06-15	142
2015-06-16	171
2015-06-17	185
2015-06-18	301
2015-06-19	216
2015-06-20	166
2015-06-21	179
2015-06-22	138
2015-06-23	142
2015-06-24	144
2015-06-25	164
2015-06-26	147
2015-06-27	166
2015-06-28	186
2015-06-29	127
2015-06-30	126
2015-07-01	119
2015-07-02	106
2015-07-03	247
2015-07-04	173
2015-07-05	194
2015-07-06	201
2015-07-07	143
2015-07-08	231
2015-07-09	343
2015-07-10	176
2015-07-11	412
2015-07-12	142
2015-07-13	130
2015-07-14	129
2015-07-15	136
2015-07-16	121
2015-07-17	139
2015-07-18	119
2015-07-19	143
2015-07-20	140
2015-07-21	134
2015-07-22	116
2015-07-23	301
2015-07-24	307
2015-07-25	156
2015-07-26	181
2015-07-27	171
2015-07-28	163
2015-07-29	141
2015-07-30	179
2015-07-31	130
2015-08-01	129
2015-08-02	133
2015-08-03	190
2015-08-04	191
2015-08-05	139
2015-08-06	134
2015-08-07	146
2015-08-08	201
2015-08-09	122
2015-08-10	172
2015-08-11	166
2015-08-12	312
2015-08-13	253
2015-08-14	179
2015-08-15	175
2015-08-16	168
2015-08-17	143
2015-08-18	167
2015-08-19	121
2015-08-20	142
2015-08-21	166
2015-08-22	139
2015-08-23	154
2015-08-24	149
2015-08-25	174
2015-08-26	183
2015-08-27	162
2015-08-28	130
2015-08-29	150
2015-08-30	184
2015-08-31	156
2015-09-01	202
2015-09-02	160
2015-09-03	132
2015-09-04	150
2015-09-05	153
2015-09-06	201
2015-09-07	313
2015-09-08	332
2015-09-09	277
2015-09-10	181
2015-09-11	215
2015-09-12	225
2015-09-13	231
2015-09-14	188
2015-09-15	156
2015-09-16	152
2015-09-17	122
2015-09-18	179
2015-09-19	171
2015-09-20	170
2015-09-21	210
2015-09-22	119
2015-09-23	134
2015-09-24	143
2015-09-25	168
2015-09-26	145
2015-09-27	166
2015-09-28	196
2015-09-29	158
2015-09-30	140
2015-10-01	145
2015-10-02	121
2015-10-03	114
2015-10-04	117
2015-10-05	117
2015-10-06	108
2015-10-07	132
2015-10-08	119
2015-10-09	116
2015-10-10	138
2015-10-11	192
2015-10-12	150
2015-10-13	139
2015-10-14	185
2015-10-15	205
2015-10-16	190
2015-10-17	140
2015-10-18	232
2015-10-19	176
2015-10-20	167
2015-10-21	228
2015-10-22	170
2015-10-23	245
2015-10-24	152
2015-10-25	121
2015-10-26	94
2015-10-27	144
2015-10-28	109
2015-10-29	124
2015-10-30	139
2015-10-31	187
2015-11-01	116
2015-11-02	141
2015-11-03	549
2015-11-04	172
2015-11-05	141
2015-11-06	163
2015-11-07	179
2015-11-08	186
2015-11-09	219
2015-11-10	192
2015-11-11	170
2015-11-12	273
2015-11-13	226
2015-11-14	189
2015-11-15	146
2015-11-16	189
2015-11-17	213
2015-11-18	191
2015-11-19	235
2015-11-20	348
2015-11-21	184
2015-11-22	173
2015-11-23	158
2015-11-24	160
2015-11-25	119
2015-11-26	125
2015-11-27	175
2015-11-28	115
2015-11-29	155
2015-11-30	208
2015-12-01	240
2015-12-02	161
2015-12-03	1035
2015-12-04	626
2015-12-05	293
2015-12-06	165
2015-12-07	222
2015-12-08	1419
2015-12-09	718
2015-12-10	420
2015-12-11	284
2015-12-12	171
2015-12-13	183
2015-12-14	348
2015-12-15	321
2015-12-16	378
2015-12-17	302
2015-12-18	304
2015-12-19	227
2015-12-20	245
2015-12-21	302
2015-12-22	201
2015-12-23	187
2015-12-24	390
2015-12-25	221
2015-12-26	198
2015-12-27	221
2015-12-28	180
2015-12-29	176
2015-12-30	149
2015-12-31	172
2016-01-01	99
2016-01-02	185
2016-01-03	155
2016-01-04	222
2016-01-05	193
2016-01-06	178
2016-01-07	179
2016-01-08	180
2016-01-09	184
2016-01-10	338
2016-01-11	189
2016-01-12	142
2016-01-13	122
2016-01-14	125
2016-01-15	180
2016-01-16	124
2016-01-17	140
2016-01-18	118
2016-01-19	106
2016-01-20	101
2016-01-21	133
2016-01-22	128
2016-01-23	159
2016-01-24	792
2016-01-25	432
2016-01-26	280
2016-01-27	240
2016-01-28	261
2016-01-29	294
2016-01-30	180
2016-01-31	158
2016-02-01	310
2016-02-02	394
2016-02-03	246
2016-02-04	189
2016-02-05	128
2016-02-06	154
2016-02-07	162
2016-02-08	144
2016-02-09	128
2016-02-10	160
2016-02-11	215
2016-02-12	182
2016-02-13	242
2016-02-14	230
2016-02-15	137
2016-02-16	140
2016-02-17	155
2016-02-18	201
2016-02-19	131
2016-02-20	151
2016-02-21	167
2016-02-22	171
2016-02-23	214
2016-02-24	157
2016-02-25	203
2016-02-26	225
2016-02-27	154
2016-02-28	135
2016-02-29	128
2016-03-01	134
2016-03-02	183
2016-03-03	215
2016-03-04	143
2016-03-05	165
2016-03-06	144
2016-03-07	142
2016-03-08	156
2016-03-09	137
2016-03-10	375
2016-03-11	247
2016-03-12	196
2016-03-13	173
2016-03-14	353
2016-03-15	464
2016-03-16	387
2016-03-17	246
2016-03-18	330
2016-03-19	187
2016-03-20	195
2016-03-21	273
2016-03-22	222
2016-03-23	220
2016-03-24	172
2016-03-25	141
2016-03-26	133
2016-03-27	161
2016-03-28	129
2016-03-29	193
2016-03-30	214
2016-03-31	234
2016-04-01	524
2016-04-02	141
2016-04-03	157
2016-04-04	267
2016-04-05	269
2016-04-06	180
2016-04-07	158
2016-04-08	205
2016-04-09	203
2016-04-10	194
2016-04-11	157
2016-04-12	154
2016-04-13	148
