date	freq
2015-06-01	737
2015-06-02	705
2015-06-03	739
2015-06-04	721
2015-06-05	560
2015-06-06	625
2015-06-07	815
2015-06-08	683
2015-06-09	295
2015-06-10	341
2015-06-11	682
2015-06-12	598
2015-06-13	744
2015-06-14	741
2015-06-15	671
2015-06-16	606
2015-06-17	753
2015-06-18	690
2015-06-19	833
2015-06-20	811
2015-06-21	825
2015-06-22	811
2015-06-23	912
2015-06-24	738
2015-06-25	736
2015-06-26	590
2015-06-27	615
2015-06-28	765
2015-06-29	769
2015-06-30	588
2015-07-01	630
2015-07-02	566
2015-07-03	641
2015-07-04	643
2015-07-05	751
2015-07-06	612
2015-07-07	507
2015-07-08	655
2015-07-09	552
2015-07-10	508
2015-07-11	545
2015-07-12	550
2015-07-13	611
2015-07-14	618
2015-07-15	669
2015-07-16	507
2015-07-17	453
2015-07-18	471
2015-07-19	606
2015-07-20	584
2015-07-21	515
2015-07-22	634
2015-07-23	572
2015-07-24	585
2015-07-25	547
2015-07-26	665
2015-07-27	736
2015-07-28	653
2015-07-29	588
2015-07-30	569
2015-07-31	591
2015-08-01	650
2015-08-02	763
2015-08-03	693
2015-08-04	647
2015-08-05	636
2015-08-06	666
2015-08-07	662
2015-08-08	639
2015-08-09	632
2015-08-10	665
2015-08-11	1246
2015-08-12	626
2015-08-13	616
2015-08-14	609
2015-08-15	629
2015-08-16	680
2015-08-17	576
2015-08-18	1575
2015-08-19	1032
2015-08-20	759
2015-08-21	622
2015-08-22	647
2015-08-23	1107
2015-08-24	608
2015-08-25	687
2015-08-26	962
2015-08-27	833
2015-08-28	778
2015-08-29	809
2015-08-30	1100
2015-08-31	876
2015-09-01	833
2015-09-02	754
2015-09-03	760
2015-09-04	892
2015-09-05	833
2015-09-06	884
2015-09-07	1059
2015-09-08	763
2015-09-09	1091
2015-09-10	853
2015-09-11	754
2015-09-12	960
2015-09-13	923
2015-09-14	810
2015-09-15	572
2015-09-16	582
2015-09-17	533
2015-09-18	483
2015-09-19	536
2015-09-20	627
2015-09-21	642
2015-09-22	601
2015-09-23	639
2015-09-24	512
2015-09-25	472
2015-09-26	537
2015-09-27	956
2015-09-28	551
2015-09-29	520
2015-09-30	638
2015-10-01	537
2015-10-02	616
2015-10-03	609
2015-10-04	914
2015-10-05	566
2015-10-06	631
2015-10-07	565
2015-10-08	584
2015-10-09	675
2015-10-10	675
2015-10-11	678
2015-10-12	780
2015-10-13	675
2015-10-14	696
2015-10-15	663
2015-10-16	678
2015-10-17	683
2015-10-18	822
2015-10-19	657
2015-10-20	703
2015-10-21	664
2015-10-22	692
2015-10-23	704
2015-10-24	736
2015-10-25	1447
2015-10-26	1430
2015-10-27	963
2015-10-28	639
2015-10-29	602
2015-10-30	628
2015-10-31	982
2015-11-01	735
2015-11-02	600
2015-11-03	777
2015-11-04	729
2015-11-05	627
2015-11-06	899
2015-11-07	832
2015-11-08	913
2015-11-09	1026
2015-11-10	733
2015-11-11	617
2015-11-12	547
2015-11-13	961
2015-11-14	735
2015-11-15	1100
2015-11-16	900
2015-11-17	622
2015-11-18	541
2015-11-19	457
2015-11-20	580
2015-11-21	603
2015-11-22	758
2015-11-23	746
2015-11-24	630
2015-11-25	633
2015-11-26	663
2015-11-27	689
2015-11-28	1025
2015-11-29	837
2015-11-30	521
2015-12-01	718
2015-12-02	470
2015-12-03	974
2015-12-04	744
2015-12-05	697
2015-12-06	712
2015-12-07	756
2015-12-08	554
2015-12-09	682
2015-12-10	971
2015-12-11	968
2015-12-12	1102
2015-12-13	1048
2015-12-14	1214
2015-12-15	1253
2015-12-16	829
2015-12-17	755
2015-12-18	1050
2015-12-19	1529
2015-12-20	1478
2015-12-21	1304
2015-12-22	1280
2015-12-23	1380
2015-12-24	1454
2015-12-25	1087
2015-12-26	811
2015-12-27	935
2015-12-28	1618
2015-12-29	1402
2015-12-30	1604
2015-12-31	1353
2016-01-01	877
2016-01-02	855
2016-01-03	920
2016-01-04	1485
2016-01-05	769
2016-01-06	835
2016-01-07	954
2016-01-08	1138
2016-01-09	847
2016-01-10	1235
2016-01-11	1282
2016-01-12	1345
2016-01-13	1788
2016-01-14	1204
2016-01-15	967
2016-01-16	954
2016-01-17	910
2016-01-18	880
2016-01-19	1149
2016-01-20	1188
2016-01-21	1139
2016-01-22	1398
2016-01-23	1202
2016-01-24	1000
2016-01-25	1021
2016-01-26	998
2016-01-27	1064
2016-01-28	987
2016-01-29	1169
2016-01-30	970
2016-01-31	1101
2016-02-01	1306
2016-02-02	1356
2016-02-03	1368
2016-02-04	1611
2016-02-05	1944
2016-02-06	2814
2016-02-07	2108
2016-02-08	1253
2016-02-09	1152
2016-02-10	1816
2016-02-11	1635
2016-02-12	1565
2016-02-13	1885
2016-02-14	2212
2016-02-15	1877
2016-02-16	1223
2016-02-17	963
2016-02-18	1030
2016-02-19	1008
2016-02-20	1155
2016-02-21	1220
2016-02-22	869
2016-02-23	945
2016-02-24	820
2016-02-25	739
2016-02-26	839
2016-02-27	810
2016-02-28	957
2016-02-29	958
2016-03-01	889
2016-03-02	981
2016-03-03	1122
2016-03-04	942
2016-03-05	868
2016-03-06	934
2016-03-07	864
2016-03-08	1194
2016-03-09	1147
2016-03-10	1208
2016-03-11	1200
2016-03-12	2245
2016-03-13	2694
2016-03-14	4046
2016-03-15	1497
2016-03-16	1073
2016-03-17	995
2016-03-18	1048
2016-03-19	1071
2016-03-20	1427
2016-03-21	1092
2016-03-22	1086
2016-03-23	1211
2016-03-24	836
2016-03-25	834
2016-03-26	858
2016-03-27	820
2016-03-28	821
2016-03-29	819
2016-03-30	1070
2016-03-31	1098
2016-04-01	750
2016-04-02	822
2016-04-03	737
2016-04-04	749
2016-04-05	731
2016-04-06	619
2016-04-07	544
2016-04-08	442
2016-04-09	692
2016-04-10	901
2016-04-11	1022
2016-04-12	852
2016-04-13	877
2016-04-14	866
2016-04-15	785
2016-04-16	694
2016-04-17	809
2016-04-18	692
2016-04-19	479
2016-04-20	509
2016-04-21	584
2016-04-22	709
2016-04-23	783
2016-04-24	634
2016-04-25	930
2016-04-26	696
2016-04-27	684
2016-04-28	932
2016-04-29	703
2016-04-30	700
2016-05-01	709
2016-05-02	684
2016-05-03	705
2016-05-04	738
2016-05-05	650
2016-05-06	690
2016-05-07	1624
2016-05-08	979
2016-05-09	803
2016-05-10	668
2016-05-11	657
2016-05-12	1102
2016-05-13	891
2016-05-14	698
2016-05-15	699
2016-05-16	559
2016-05-17	872
2016-05-18	578
2016-05-19	939
2016-05-20	746
2016-05-21	765
2016-05-22	642
2016-05-23	640
2016-05-24	569
2016-05-25	485
2016-05-26	849
2016-05-27	597
2016-05-28	700
2016-05-29	755
2016-05-30	634
2016-05-31	537
