date	freq
2015-06-01	174
2015-06-02	174
2015-06-03	199
2015-06-04	175
2015-06-05	211
2015-06-06	186
2015-06-07	180
2015-06-08	195
2015-06-09	178
2015-06-10	181
2015-06-11	182
2015-06-12	200
2015-06-13	204
2015-06-14	186
2015-06-15	175
2015-06-16	172
2015-06-17	180
2015-06-18	177
2015-06-19	180
2015-06-20	173
2015-06-21	176
2015-06-22	182
2015-06-23	183
2015-06-24	179
2015-06-25	185
2015-06-26	197
2015-06-27	195
2015-06-28	165
2015-06-29	192
2015-06-30	162
2015-07-01	199
2015-07-02	174
2015-07-03	160
2015-07-04	151
2015-07-05	185
2015-07-06	175
2015-07-07	170
2015-07-08	167
2015-07-09	146
2015-07-10	163
2015-07-11	160
2015-07-12	137
2015-07-13	158
2015-07-14	152
2015-07-15	144
2015-07-16	134
2015-07-17	144
2015-07-18	162
2015-07-19	168
2015-07-20	147
2015-07-21	176
2015-07-22	183
2015-07-23	150
2015-07-24	155
2015-07-25	175
2015-07-26	153
2015-07-27	139
2015-07-28	143
2015-07-29	174
2015-07-30	169
2015-07-31	154
2015-08-01	168
2015-08-02	136
2015-08-03	145
2015-08-04	140
2015-08-05	147
2015-08-06	141
2015-08-07	164
2015-08-08	163
2015-08-09	134
2015-08-10	140
2015-08-11	163
2015-08-12	173
2015-08-13	145
2015-08-14	151
2015-08-15	152
2015-08-16	174
2015-08-17	180
2015-08-18	229
2015-08-19	229
2015-08-20	201
2015-08-21	165
2015-08-22	177
2015-08-23	209
2015-08-24	174
2015-08-25	163
2015-08-26	198
2015-08-27	205
2015-08-28	176
2015-08-29	180
2015-08-30	207
2015-08-31	160
2015-09-01	150
2015-09-02	176
2015-09-03	170
2015-09-04	176
2015-09-05	224
2015-09-06	205
2015-09-07	197
2015-09-08	182
2015-09-09	171
2015-09-10	164
2015-09-11	155
2015-09-12	162
2015-09-13	196
2015-09-14	171
2015-09-15	198
2015-09-16	172
2015-09-17	188
2015-09-18	181
2015-09-19	190
2015-09-20	177
2015-09-21	179
2015-09-22	195
2015-09-23	207
2015-09-24	202
2015-09-25	186
2015-09-26	194
2015-09-27	231
2015-09-28	170
2015-09-29	134
2015-09-30	159
2015-10-01	183
2015-10-02	156
2015-10-03	175
2015-10-04	172
2015-10-05	181
2015-10-06	160
2015-10-07	193
2015-10-08	182
2015-10-09	168
2015-10-10	173
2015-10-11	184
2015-10-12	189
2015-10-13	205
2015-10-14	191
2015-10-15	177
2015-10-16	178
2015-10-17	170
2015-10-18	171
2015-10-19	199
2015-10-20	172
2015-10-21	153
2015-10-22	147
2015-10-23	204
2015-10-24	208
2015-10-25	194
2015-10-26	180
2015-10-27	173
2015-10-28	197
2015-10-29	172
2015-10-30	185
2015-10-31	197
2015-11-01	175
2015-11-02	189
2015-11-03	165
2015-11-04	169
2015-11-05	167
2015-11-06	156
2015-11-07	186
2015-11-08	196
2015-11-09	210
2015-11-10	167
2015-11-11	175
2015-11-12	193
2015-11-13	175
2015-11-14	189
2015-11-15	204
2015-11-16	183
2015-11-17	175
2015-11-18	179
2015-11-19	200
2015-11-20	172
2015-11-21	169
2015-11-22	188
2015-11-23	209
2015-11-24	164
2015-11-25	182
2015-11-26	175
2015-11-27	174
2015-11-28	164
2015-11-29	192
2015-11-30	196
2015-12-01	147
2015-12-02	199
2015-12-03	203
2015-12-04	183
2015-12-05	165
2015-12-06	212
2015-12-07	189
2015-12-08	178
2015-12-09	188
2015-12-10	177
2015-12-11	196
2015-12-12	178
2015-12-13	175
2015-12-14	158
2015-12-15	191
2015-12-16	177
2015-12-17	183
2015-12-18	155
2015-12-19	189
2015-12-20	177
2015-12-21	195
2015-12-22	159
2015-12-23	175
2015-12-24	184
2015-12-25	204
2015-12-26	148
2015-12-27	184
2015-12-28	178
2015-12-29	161
2015-12-30	150
2015-12-31	158
2016-01-01	79
2016-01-02	109
2016-01-03	139
2016-01-04	152
2016-01-05	186
2016-01-06	190
2016-01-07	170
2016-01-08	171
2016-01-09	179
2016-01-10	143
2016-01-11	158
2016-01-12	168
2016-01-13	158
2016-01-14	180
2016-01-15	169
2016-01-16	182
2016-01-17	184
2016-01-18	166
2016-01-19	166
2016-01-20	184
2016-01-21	190
2016-01-22	158
2016-01-23	177
2016-01-24	177
2016-01-25	154
2016-01-26	137
2016-01-27	146
2016-01-28	167
2016-01-29	189
2016-01-30	189
2016-01-31	185
2016-02-01	190
2016-02-02	157
2016-02-03	139
2016-02-04	167
2016-02-05	167
2016-02-06	158
2016-02-07	165
2016-02-08	205
2016-02-09	203
2016-02-10	160
2016-02-11	201
2016-02-12	202
2016-02-13	305
2016-02-14	388
2016-02-15	261
2016-02-16	175
2016-02-17	211
2016-02-18	201
2016-02-19	164
2016-02-20	187
2016-02-21	206
2016-02-22	180
2016-02-23	167
2016-02-24	157
2016-02-25	165
2016-02-26	156
2016-02-27	146
2016-02-28	167
2016-02-29	152
2016-03-01	152
2016-03-02	166
2016-03-03	149
2016-03-04	162
2016-03-05	155
2016-03-06	195
2016-03-07	157
2016-03-08	164
2016-03-09	165
2016-03-10	166
2016-03-11	163
2016-03-12	169
2016-03-13	208
2016-03-14	298
2016-03-15	207
2016-03-16	192
2016-03-17	181
2016-03-18	178
2016-03-19	147
2016-03-20	172
2016-03-21	165
2016-03-22	159
2016-03-23	171
2016-03-24	135
2016-03-25	149
2016-03-26	172
2016-03-27	169
2016-03-28	161
2016-03-29	176
2016-03-30	180
2016-03-31	152
2016-04-01	149
2016-04-02	140
2016-04-03	162
2016-04-04	160
2016-04-05	157
2016-04-06	177
2016-04-07	165
2016-04-08	139
2016-04-09	169
2016-04-10	182
2016-04-11	167
2016-04-12	166
2016-04-13	141
2016-04-14	159
2016-04-15	134
2016-04-16	145
2016-04-17	168
2016-04-18	148
2016-04-19	132
2016-04-20	134
2016-04-21	163
2016-04-22	145
2016-04-23	145
2016-04-24	171
2016-04-25	152
2016-04-26	145
2016-04-27	161
2016-04-28	156
2016-04-29	153
2016-04-30	151
2016-05-01	138
2016-05-02	145
2016-05-03	146
2016-05-04	142
2016-05-05	171
2016-05-06	153
2016-05-07	145
2016-05-08	159
2016-05-09	164
2016-05-10	159
2016-05-11	155
2016-05-12	136
2016-05-13	125
2016-05-14	149
2016-05-15	132
2016-05-16	156
2016-05-17	139
2016-05-18	160
2016-05-19	132
2016-05-20	177
2016-05-21	150
2016-05-22	143
2016-05-23	162
2016-05-24	124
2016-05-25	152
2016-05-26	143
2016-05-27	156
2016-05-28	140
2016-05-29	144
2016-05-30	147
2016-05-31	164
