date	freq
2015-06-01	124
2015-06-02	133
2015-06-03	137
2015-06-04	217
2015-06-05	165
2015-06-06	134
2015-06-07	121
2015-06-08	144
2015-06-09	137
2015-06-10	139
2015-06-11	156
2015-06-12	141
2015-06-13	126
2015-06-14	134
2015-06-15	140
2015-06-16	144
2015-06-17	122
2015-06-18	114
2015-06-19	140
2015-06-20	165
2015-06-21	142
2015-06-22	136
2015-06-23	124
2015-06-24	96
2015-06-25	109
2015-06-26	121
2015-06-27	155
2015-06-28	157
2015-06-29	150
2015-06-30	106
2015-07-01	118
2015-07-02	114
2015-07-03	113
2015-07-04	129
2015-07-05	112
2015-07-06	130
2015-07-07	123
2015-07-08	116
2015-07-09	116
2015-07-10	141
2015-07-11	120
2015-07-12	201
2015-07-13	121
2015-07-14	139
2015-07-15	129
2015-07-16	115
2015-07-17	401
2015-07-18	324
2015-07-19	209
2015-07-20	175
2015-07-21	142
2015-07-22	132
2015-07-23	121
2015-07-24	131
2015-07-25	115
2015-07-26	141
2015-07-27	140
2015-07-28	141
2015-07-29	127
2015-07-30	103
2015-07-31	126
2015-08-01	90
2015-08-02	103
2015-08-03	147
2015-08-04	106
2015-08-05	94
2015-08-06	133
2015-08-07	111
2015-08-08	119
2015-08-09	111
2015-08-10	124
2015-08-11	131
2015-08-12	106
2015-08-13	123
2015-08-14	119
2015-08-15	141
2015-08-16	148
2015-08-17	116
2015-08-18	150
2015-08-19	123
2015-08-20	127
2015-08-21	155
2015-08-22	112
2015-08-23	130
2015-08-24	135
2015-08-25	134
2015-08-26	146
2015-08-27	131
2015-08-28	161
2015-08-29	186
2015-08-30	157
2015-08-31	111
2015-09-01	114
2015-09-02	249
2015-09-03	175
2015-09-04	168
2015-09-05	133
2015-09-06	124
2015-09-07	139
2015-09-08	129
2015-09-09	136
2015-09-10	113
2015-09-11	133
2015-09-12	124
2015-09-13	151
2015-09-14	149
2015-09-15	119
2015-09-16	144
2015-09-17	163
2015-09-18	114
2015-09-19	143
2015-09-20	124
2015-09-21	133
2015-09-22	129
2015-09-23	116
2015-09-24	115
2015-09-25	123
2015-09-26	111
2015-09-27	134
2015-09-28	138
2015-09-29	135
2015-09-30	112
2015-10-01	109
2015-10-02	224
2015-10-03	165
2015-10-04	144
2015-10-05	127
2015-10-06	136
2015-10-07	143
2015-10-08	119
2015-10-09	127
2015-10-10	264
2015-10-11	128
2015-10-12	163
2015-10-13	200
2015-10-14	120
2015-10-15	129
2015-10-16	111
2015-10-17	131
2015-10-18	150
2015-10-19	136
2015-10-20	116
2015-10-21	106
2015-10-22	129
2015-10-23	126
2015-10-24	125
2015-10-25	129
2015-10-26	122
2015-10-27	136
2015-10-28	126
2015-10-29	167
2015-10-30	129
2015-10-31	148
2015-11-01	212
2015-11-02	132
2015-11-03	140
2015-11-04	127
2015-11-05	142
2015-11-06	147
2015-11-07	161
2015-11-08	141
2015-11-09	119
2015-11-10	108
2015-11-11	140
2015-11-12	142
2015-11-13	104
2015-11-14	128
2015-11-15	135
2015-11-16	124
2015-11-17	104
2015-11-18	109
2015-11-19	91
2015-11-20	114
2015-11-21	105
2015-11-22	119
2015-11-23	131
2015-11-24	161
2015-11-25	98
2015-11-26	211
2015-11-27	116
2015-11-28	116
2015-11-29	121
2015-11-30	90
2015-12-01	118
2015-12-02	111
2015-12-03	128
2015-12-04	116
2015-12-05	137
2015-12-06	109
2015-12-07	120
2015-12-08	138
2015-12-09	128
2015-12-10	136
2015-12-11	109
2015-12-12	147
2015-12-13	113
2015-12-14	162
2015-12-15	106
2015-12-16	133
