date	freq
2015-06-01	735
2015-06-02	685
2015-06-03	646
2015-06-04	691
2015-06-05	680
2015-06-06	616
2015-06-07	665
2015-06-08	644
2015-06-09	623
2015-06-10	731
2015-06-11	830
2015-06-12	792
2015-06-13	828
2015-06-14	966
2015-06-15	875
2015-06-16	1778
2015-06-17	958
2015-06-18	762
2015-06-19	733
2015-06-20	814
2015-06-21	959
2015-06-22	935
2015-06-23	754
2015-06-24	702
2015-06-25	681
2015-06-26	718
2015-06-27	714
2015-06-28	748
2015-06-29	697
2015-06-30	1096
2015-07-01	922
2015-07-02	678
2015-07-03	642
2015-07-04	632
2015-07-05	670
2015-07-06	643
2015-07-07	770
2015-07-08	657
2015-07-09	569
2015-07-10	594
2015-07-11	558
2015-07-12	610
2015-07-13	577
2015-07-14	503
2015-07-15	554
2015-07-16	565
2015-07-17	558
2015-07-18	551
2015-07-19	531
2015-07-20	598
2015-07-21	583
2015-07-22	567
2015-07-23	574
2015-07-24	617
2015-07-25	469
2015-07-26	537
2015-07-27	600
2015-07-28	483
2015-07-29	559
2015-07-30	526
2015-07-31	507
2015-08-01	545
2015-08-02	605
2015-08-03	557
2015-08-04	557
2015-08-05	536
2015-08-06	577
2015-08-07	657
2015-08-08	534
2015-08-09	513
2015-08-10	558
2015-08-11	543
2015-08-12	757
2015-08-13	644
2015-08-14	627
2015-08-15	670
2015-08-16	621
2015-08-17	621
2015-08-18	582
2015-08-19	588
2015-08-20	586
2015-08-21	538
2015-08-22	552
2015-08-23	634
2015-08-24	615
2015-08-25	553
2015-08-26	557
2015-08-27	644
2015-08-28	541
2015-08-29	618
2015-08-30	615
2015-08-31	633
2015-09-01	686
2015-09-02	700
2015-09-03	580
2015-09-04	634
2015-09-05	584
2015-09-06	738
2015-09-07	727
2015-09-08	599
2015-09-09	684
2015-09-10	553
2015-09-11	559
2015-09-12	596
2015-09-13	696
2015-09-14	758
2015-09-15	784
2015-09-16	703
2015-09-17	722
2015-09-18	579
2015-09-19	634
2015-09-20	714
2015-09-21	890
2015-09-22	793
2015-09-23	869
2015-09-24	683
2015-09-25	683
2015-09-26	768
2015-09-27	1143
2015-09-28	909
2015-09-29	786
2015-09-30	640
2015-10-01	647
2015-10-02	641
2015-10-03	618
2015-10-04	731
2015-10-05	700
2015-10-06	595
2015-10-07	695
2015-10-08	741
2015-10-09	704
2015-10-10	707
2015-10-11	713
2015-10-12	761
2015-10-13	916
2015-10-14	615
2015-10-15	802
2015-10-16	835
2015-10-17	732
2015-10-18	698
2015-10-19	656
