date	freq
2015-06-01	596
2015-06-02	763
2015-06-03	559
2015-06-04	780
2015-06-05	610
2015-06-06	611
2015-06-07	673
2015-06-08	648
2015-06-09	265
2015-06-10	247
2015-06-11	509
2015-06-12	505
2015-06-13	776
2015-06-14	902
2015-06-15	889
2015-06-16	2916
2015-06-17	706
2015-06-18	501
2015-06-19	650
2015-06-20	563
2015-06-21	630
2015-06-22	552
2015-06-23	549
2015-06-24	611
2015-06-25	462
2015-06-26	536
2015-06-27	546
2015-06-28	548
2015-06-29	468
2015-06-30	680
2015-07-01	522
2015-07-02	468
2015-07-03	501
2015-07-04	699
2015-07-05	704
2015-07-06	530
2015-07-07	649
2015-07-08	551
2015-07-09	575
2015-07-10	460
2015-07-11	499
2015-07-12	479
2015-07-13	459
2015-07-14	642
2015-07-15	573
2015-07-16	587
2015-07-17	825
2015-07-18	628
2015-07-19	513
2015-07-20	475
2015-07-21	617
2015-07-22	552
2015-07-23	549
2015-07-24	558
2015-07-25	454
2015-07-26	498
2015-07-27	421
2015-07-28	503
2015-07-29	508
2015-07-30	480
2015-07-31	576
2015-08-01	489
2015-08-02	411
2015-08-03	582
2015-08-04	464
2015-08-05	447
2015-08-06	471
2015-08-07	426
2015-08-08	404
2015-08-09	378
2015-08-10	511
2015-08-11	1163
2015-08-12	742
2015-08-13	675
2015-08-14	853
2015-08-15	631
2015-08-16	441
2015-08-17	447
2015-08-18	490
2015-08-19	453
2015-08-20	463
2015-08-21	486
2015-08-22	527
2015-08-23	480
2015-08-24	915
2015-08-25	604
2015-08-26	888
2015-08-27	531
2015-08-28	472
2015-08-29	509
2015-08-30	448
2015-08-31	718
2015-09-01	467
2015-09-02	427
2015-09-03	487
2015-09-04	480
2015-09-05	512
2015-09-06	443
2015-09-07	458
2015-09-08	489
2015-09-09	597
2015-09-10	433
2015-09-11	497
2015-09-12	540
2015-09-13	498
2015-09-14	428
2015-09-15	493
2015-09-16	1281
2015-09-17	758
2015-09-18	591
2015-09-19	978
2015-09-20	548
2015-09-21	641
2015-09-22	632
2015-09-23	542
2015-09-24	509
2015-09-25	543
2015-09-26	592
2015-09-27	757
2015-09-28	496
2015-09-29	490
2015-09-30	426
2015-10-01	385
2015-10-02	490
2015-10-03	405
2015-10-04	468
2015-10-05	397
2015-10-06	445
2015-10-07	494
2015-10-08	465
2015-10-09	395
2015-10-10	593
2015-10-11	512
2015-10-12	483
2015-10-13	435
2015-10-14	844
2015-10-15	790
2015-10-16	547
2015-10-17	583
2015-10-18	572
2015-10-19	561
2015-10-20	495
2015-10-21	467
2015-10-22	486
2015-10-23	604
2015-10-24	449
2015-10-25	525
2015-10-26	487
2015-10-27	497
2015-10-28	466
2015-10-29	481
2015-10-30	424
2015-10-31	917
2015-11-01	594
2015-11-02	414
2015-11-03	445
2015-11-04	412
2015-11-05	440
2015-11-06	476
2015-11-07	580
2015-11-08	753
2015-11-09	481
2015-11-10	401
2015-11-11	371
2015-11-12	381
2015-11-13	410
2015-11-14	474
2015-11-15	461
2015-11-16	400
2015-11-17	748
2015-11-18	554
2015-11-19	456
2015-11-20	433
2015-11-21	431
2015-11-22	388
2015-11-23	448
2015-11-24	506
2015-11-25	435
2015-11-26	1810
2015-11-27	711
2015-11-28	775
2015-11-29	687
2015-11-30	475
2015-12-01	590
2015-12-02	505
2015-12-03	476
2015-12-04	483
2015-12-05	572
2015-12-06	421
2015-12-07	451
2015-12-08	425
2015-12-09	409
2015-12-10	420
2015-12-11	389
2015-12-12	450
2015-12-13	428
2015-12-14	491
2015-12-15	450
2015-12-16	477
2015-12-17	442
