date	freq
2015-06-01	7
2015-06-02	15
2015-06-03	9
2015-06-04	7
2015-06-05	23
2015-06-06	17
2015-06-07	7
2015-06-08	11
2015-06-09	11
2015-06-10	7
2015-06-11	10
2015-06-12	4
2015-06-13	7
2015-06-14	5
2015-06-15	12
2015-06-16	9
2015-06-17	10
2015-06-18	14
2015-06-19	8
2015-06-20	3
2015-06-21	11
2015-06-22	10
2015-06-23	9
2015-06-24	12
2015-06-25	8
2015-06-26	6
2015-06-27	10
2015-06-28	13
2015-06-29	15
2015-06-30	7
2015-07-01	2
2015-07-02	6
2015-07-03	12
2015-07-04	13
2015-07-05	13
2015-07-06	9
2015-07-07	8
2015-07-08	6
2015-07-09	15
2015-07-10	5
2015-07-11	6
2015-07-12	14
2015-07-13	9
2015-07-14	17
2015-07-15	4
2015-07-16	7
2015-07-17	8
2015-07-18	5
2015-07-19	7
2015-07-20	12
2015-07-21	12
2015-07-22	11
2015-07-23	5
2015-07-24	12
2015-07-25	10
2015-07-26	4
2015-07-27	10
2015-07-28	1
2015-07-29	11
2015-07-30	7
2015-07-31	4
2015-08-01	16
2015-08-02	6
2015-08-03	14
2015-08-04	10
2015-08-05	5
2015-08-06	11
2015-08-07	16
2015-08-08	6
2015-08-09	6
2015-08-10	10
2015-08-11	9
2015-08-12	4
2015-08-13	8
2015-08-14	1
2015-08-15	8
2015-08-16	4
2015-08-17	8
2015-08-18	7
2015-08-19	12
2015-08-20	11
2015-08-21	7
2015-08-22	7
2015-08-23	6
2015-08-24	11
2015-08-25	7
2015-08-26	9
2015-08-27	10
2015-08-28	17
2015-08-29	3
2015-08-30	8
2015-08-31	5
2015-09-01	6
2015-09-02	10
2015-09-03	5
2015-09-04	12
2015-09-05	9
2015-09-06	15
2015-09-07	9
2015-09-08	5
2015-09-09	18
2015-09-10	13
2015-09-11	14
2015-09-12	7
2015-09-13	8
2015-09-14	2
2015-09-15	3
2015-09-16	7
2015-09-17	7
2015-09-18	3
2015-09-19	8
2015-09-20	4
2015-09-21	8
2015-09-22	6
2015-09-23	11
2015-09-24	7
2015-09-25	8
2015-09-26	11
2015-09-27	8
2015-09-28	7
2015-09-29	13
2015-09-30	18
2015-10-01	5
2015-10-02	12
2015-10-03	6
2015-10-04	6
2015-10-05	9
2015-10-06	6
2015-10-07	4
2015-10-08	7
2015-10-09	10
2015-10-10	8
2015-10-11	6
2015-10-12	2
2015-10-13	3
2015-10-14	8
2015-10-15	4
2015-10-16	9
2015-10-17	4
2015-10-18	6
2015-10-19	7
2015-10-20	12
2015-10-21	3
2015-10-22	9
2015-10-23	6
2015-10-24	8
2015-10-25	6
2015-10-26	11
2015-10-27	11
2015-10-28	7
2015-10-29	5
2015-10-30	3
2015-10-31	15
2015-11-01	5
2015-11-02	13
2015-11-03	6
2015-11-04	6
2015-11-05	4
2015-11-06	12
2015-11-07	8
2015-11-08	5
2015-11-09	7
2015-11-10	14
2015-11-11	17
2015-11-12	19
2015-11-13	11
2015-11-14	11
2015-11-15	17
2015-11-16	11
2015-11-17	16
2015-11-18	10
2015-11-19	13
2015-11-20	9
2015-11-21	9
2015-11-22	6
2015-11-23	12
2015-11-24	11
2015-11-25	7
2015-11-26	6
2015-11-27	4
2015-11-28	10
2015-11-29	9
2015-11-30	7
2015-12-01	3
2015-12-02	14
2015-12-03	7
2015-12-04	9
2015-12-05	9
2015-12-06	3
2015-12-07	7
2015-12-08	9
2015-12-09	12
2015-12-10	5
2015-12-11	2
2015-12-12	8
2015-12-13	8
2015-12-14	12
2015-12-15	7
2015-12-16	19
2015-12-17	7
2015-12-18	15
2015-12-19	10
2015-12-20	7
2015-12-21	4
2015-12-22	10
2015-12-23	8
2015-12-24	15
2015-12-25	12
2015-12-26	7
2015-12-27	20
2015-12-28	8
2015-12-29	6
2015-12-30	3
2015-12-31	11
2016-01-01	7
2016-01-02	17
2016-01-03	9
2016-01-04	13
2016-01-05	12
2016-01-06	10
2016-01-07	10
2016-01-08	12
2016-01-09	7
2016-01-10	9
2016-01-11	2
2016-01-12	4
2016-01-13	13
2016-01-14	6
2016-01-15	6
2016-01-16	2
2016-01-17	11
2016-01-18	6
2016-01-19	8
2016-01-20	3
2016-01-21	10
2016-01-22	15
2016-01-23	17
2016-01-24	14
2016-01-25	10
2016-01-26	8
2016-01-27	7
2016-01-28	15
2016-01-29	9
2016-01-30	19
2016-01-31	15
2016-02-01	10
2016-02-02	15
2016-02-03	8
2016-02-04	8
2016-02-05	12
2016-02-06	10
2016-02-07	6
2016-02-08	8
2016-02-09	6
2016-02-10	11
2016-02-11	13
2016-02-12	13
2016-02-13	13
2016-02-14	5
2016-02-15	12
2016-02-16	14
2016-02-17	9
2016-02-18	8
2016-02-19	9
2016-02-20	7
2016-02-21	6
2016-02-22	8
2016-02-23	4
2016-02-24	8
2016-02-25	5
2016-02-26	16
2016-02-27	7
2016-02-28	5
2016-02-29	2
2016-03-01	6
2016-03-02	6
2016-03-03	14
2016-03-04	9
2016-03-05	3
2016-03-06	6
2016-03-07	12
2016-03-08	2
2016-03-09	20
2016-03-10	4
2016-03-11	9
2016-03-12	18
2016-03-13	10
2016-03-14	5
2016-03-15	8
2016-03-16	9
2016-03-17	17
2016-03-18	7
2016-03-19	14
2016-03-20	5
2016-03-21	12
2016-03-22	2
2016-03-23	8
2016-03-24	9
2016-03-25	6
2016-03-26	5
2016-03-27	12
2016-03-28	4
2016-03-29	2
2016-03-30	3
2016-03-31	2
2016-04-01	2
2016-04-02	6
2016-04-03	10
2016-04-04	12
2016-04-05	12
2016-04-06	10
2016-04-07	9
2016-04-08	4
2016-04-09	6
2016-04-10	4
2016-04-11	11
2016-04-12	8
2016-04-13	12
2016-04-14	7
2016-04-15	8
2016-04-16	10
2016-04-17	15
2016-04-18	8
2016-04-19	11
2016-04-20	12
2016-04-21	4
2016-04-22	15
2016-04-23	6
2016-04-24	6
2016-04-25	10
2016-04-26	16
2016-04-27	9
2016-04-28	16
2016-04-29	13
2016-04-30	9
2016-05-01	6
2016-05-02	11
2016-05-03	8
2016-05-04	9
2016-05-05	8
2016-05-06	4
2016-05-07	8
2016-05-08	5
2016-05-09	14
2016-05-10	12
2016-05-11	10
2016-05-12	8
2016-05-13	10
2016-05-14	6
2016-05-15	6
2016-05-16	6
2016-05-17	6
2016-05-18	3
2016-05-19	8
2016-05-20	9
2016-05-21	7
2016-05-22	8
2016-05-23	3
2016-05-24	6
2016-05-25	13
2016-05-26	6
2016-05-27	6
2016-05-28	10
2016-05-29	9
2016-05-30	6
2016-05-31	5
