date	freq
2015-06-01	175
2015-06-02	177
2015-06-03	200
2015-06-04	225
2015-06-05	189
2015-06-06	228
2015-06-07	208
2015-06-08	222
2015-06-09	101
2015-06-10	95
2015-06-11	201
2015-06-12	210
2015-06-13	218
2015-06-14	208
2015-06-15	196
2015-06-16	300
2015-06-17	239
2015-06-18	207
2015-06-19	187
2015-06-20	214
2015-06-21	184
2015-06-22	172
2015-06-23	204
2015-06-24	166
2015-06-25	188
2015-06-26	214
2015-06-27	191
2015-06-28	177
2015-06-29	208
2015-06-30	186
2015-07-01	196
2015-07-02	206
2015-07-03	173
2015-07-04	171
2015-07-05	221
2015-07-06	201
2015-07-07	176
2015-07-08	173
2015-07-09	200
2015-07-10	189
2015-07-11	206
2015-07-12	187
2015-07-13	173
2015-07-14	165
2015-07-15	198
2015-07-16	217
2015-07-17	334
2015-07-18	269
2015-07-19	203
2015-07-20	186
2015-07-21	192
2015-07-22	181
2015-07-23	197
2015-07-24	165
2015-07-25	158
2015-07-26	170
2015-07-27	172
2015-07-28	147
2015-07-29	228
2015-07-30	166
2015-07-31	179
2015-08-01	141
2015-08-02	165
2015-08-03	179
2015-08-04	193
2015-08-05	206
2015-08-06	287
2015-08-07	211
2015-08-08	203
2015-08-09	226
2015-08-10	190
2015-08-11	152
2015-08-12	194
2015-08-13	202
2015-08-14	192
2015-08-15	159
2015-08-16	189
2015-08-17	170
2015-08-18	146
2015-08-19	176
2015-08-20	188
2015-08-21	206
2015-08-22	191
2015-08-23	165
2015-08-24	189
2015-08-25	213
2015-08-26	201
2015-08-27	159
2015-08-28	184
2015-08-29	201
2015-08-30	180
2015-08-31	156
2015-09-01	182
2015-09-02	201
2015-09-03	195
2015-09-04	221
2015-09-05	212
2015-09-06	229
2015-09-07	211
2015-09-08	262
2015-09-09	238
2015-09-10	234
2015-09-11	232
2015-09-12	246
2015-09-13	214
2015-09-14	189
2015-09-15	178
2015-09-16	217
2015-09-17	194
2015-09-18	220
2015-09-19	207
2015-09-20	204
2015-09-21	181
2015-09-22	238
2015-09-23	221
2015-09-24	241
2015-09-25	231
2015-09-26	204
2015-09-27	240
2015-09-28	230
2015-09-29	418
2015-09-30	259
2015-10-01	237
2015-10-02	189
2015-10-03	203
2015-10-04	193
2015-10-05	238
2015-10-06	203
2015-10-07	194
2015-10-08	193
2015-10-09	210
2015-10-10	215
2015-10-11	219
2015-10-12	188
2015-10-13	203
2015-10-14	152
2015-10-15	199
2015-10-16	233
2015-10-17	205
2015-10-18	209
2015-10-19	218
2015-10-20	224
2015-10-21	190
2015-10-22	225
2015-10-23	198
2015-10-24	205
2015-10-25	184
2015-10-26	172
2015-10-27	178
2015-10-28	165
2015-10-29	182
2015-10-30	185
2015-10-31	210
2015-11-01	177
2015-11-02	178
2015-11-03	150
2015-11-04	168
2015-11-05	178
2015-11-06	184
2015-11-07	165
2015-11-08	146
2015-11-09	186
2015-11-10	155
2015-11-11	166
2015-11-12	152
2015-11-13	162
2015-11-14	158
2015-11-15	112
2015-11-16	168
2015-11-17	180
2015-11-18	198
2015-11-19	160
2015-11-20	156
2015-11-21	151
2015-11-22	159
2015-11-23	147
2015-11-24	137
2015-11-25	181
2015-11-26	166
2015-11-27	163
2015-11-28	170
2015-11-29	167
2015-11-30	181
2015-12-01	154
2015-12-02	137
2015-12-03	166
2015-12-04	160
2015-12-05	157
2015-12-06	127
2015-12-07	138
2015-12-08	150
2015-12-09	175
2015-12-10	151
2015-12-11	150
2015-12-12	169
2015-12-13	141
2015-12-14	164
2015-12-15	140
2015-12-16	136
2015-12-17	126
2015-12-18	164
2015-12-19	148
2015-12-20	153
2015-12-21	136
2015-12-22	185
2015-12-23	179
2015-12-24	264
2015-12-25	249
2015-12-26	202
2015-12-27	153
2015-12-28	157
2015-12-29	151
2015-12-30	142
2015-12-31	162
2016-01-01	146
2016-01-02	161
2016-01-03	168
2016-01-04	153
2016-01-05	152
2016-01-06	170
2016-01-07	163
2016-01-08	144
2016-01-09	133
2016-01-10	111
2016-01-11	145
2016-01-12	155
2016-01-13	443
2016-01-14	528
2016-01-15	196
2016-01-16	211
2016-01-17	156
2016-01-18	216
2016-01-19	144
2016-01-20	155
2016-01-21	164
2016-01-22	127
2016-01-23	181
2016-01-24	168
2016-01-25	126
2016-01-26	133
2016-01-27	202
2016-01-28	162
2016-01-29	177
2016-01-30	171
2016-01-31	172
2016-02-01	139
2016-02-02	178
2016-02-03	194
2016-02-04	171
2016-02-05	170
2016-02-06	226
2016-02-07	216
2016-02-08	154
2016-02-09	329
2016-02-10	336
2016-02-11	416
2016-02-12	320
2016-02-13	223
2016-02-14	315
2016-02-15	222
2016-02-16	209
2016-02-17	195
2016-02-18	166
2016-02-19	477
2016-02-20	817
2016-02-21	835
2016-02-22	484
2016-02-23	403
2016-02-24	324
2016-02-25	286
2016-02-26	294
2016-02-27	206
2016-02-28	228
2016-02-29	165
2016-03-01	155
