date	freq
2015-06-01	54
2015-06-02	35
2015-06-03	34
2015-06-04	59
2015-06-05	41
2015-06-06	41
2015-06-07	42
2015-06-08	48
2015-06-09	37
2015-06-10	36
2015-06-11	44
2015-06-12	40
2015-06-13	40
2015-06-14	37
2015-06-15	43
2015-06-16	43
2015-06-17	39
2015-06-18	46
2015-06-19	45
2015-06-20	37
2015-06-21	29
2015-06-22	52
2015-06-23	43
2015-06-24	44
2015-06-25	46
2015-06-26	34
2015-06-27	46
2015-06-28	45
2015-06-29	40
2015-06-30	34
2015-07-01	42
2015-07-02	39
2015-07-03	50
2015-07-04	35
2015-07-05	63
2015-07-06	47
2015-07-07	37
2015-07-08	32
2015-07-09	35
2015-07-10	37
2015-07-11	43
2015-07-12	36
2015-07-13	28
2015-07-14	41
2015-07-15	37
2015-07-16	43
2015-07-17	44
2015-07-18	42
2015-07-19	36
2015-07-20	31
2015-07-21	39
2015-07-22	33
2015-07-23	29
2015-07-24	49
2015-07-25	27
2015-07-26	32
2015-07-27	35
2015-07-28	29
2015-07-29	35
2015-07-30	35
2015-07-31	33
2015-08-01	32
2015-08-02	30
2015-08-03	27
2015-08-04	26
2015-08-05	29
2015-08-06	37
2015-08-07	32
2015-08-08	38
2015-08-09	35
2015-08-10	28
2015-08-11	22
2015-08-12	27
2015-08-13	35
2015-08-14	28
2015-08-15	34
2015-08-16	20
2015-08-17	32
2015-08-18	30
2015-08-19	35
2015-08-20	28
2015-08-21	36
2015-08-22	45
2015-08-23	37
2015-08-24	37
2015-08-25	32
2015-08-26	28
2015-08-27	53
2015-08-28	33
2015-08-29	35
2015-08-30	37
2015-08-31	31
2015-09-01	52
2015-09-02	37
2015-09-03	44
2015-09-04	32
2015-09-05	34
2015-09-06	45
2015-09-07	42
2015-09-08	45
2015-09-09	43
2015-09-10	40
2015-09-11	42
2015-09-12	24
2015-09-13	41
2015-09-14	39
2015-09-15	50
2015-09-16	40
2015-09-17	47
2015-09-18	48
2015-09-19	46
2015-09-20	36
2015-09-21	33
2015-09-22	43
2015-09-23	40
2015-09-24	50
2015-09-25	53
2015-09-26	54
2015-09-27	52
2015-09-28	46
2015-09-29	45
2015-09-30	37
2015-10-01	54
2015-10-02	49
2015-10-03	58
2015-10-04	46
2015-10-05	54
2015-10-06	52
2015-10-07	54
2015-10-08	39
2015-10-09	48
2015-10-10	51
2015-10-11	51
2015-10-12	58
2015-10-13	55
2015-10-14	46
2015-10-15	46
2015-10-16	70
2015-10-17	41
2015-10-18	51
2015-10-19	40
2015-10-20	50
2015-10-21	41
2015-10-22	53
2015-10-23	55
2015-10-24	47
2015-10-25	45
2015-10-26	67
2015-10-27	59
2015-10-28	50
2015-10-29	48
2015-10-30	73
2015-10-31	63
2015-11-01	53
2015-11-02	52
2015-11-03	58
2015-11-04	59
2015-11-05	60
2015-11-06	61
2015-11-07	33
2015-11-08	45
2015-11-09	57
2015-11-10	49
2015-11-11	50
2015-11-12	50
2015-11-13	46
2015-11-14	47
2015-11-15	36
2015-11-16	49
2015-11-17	30
2015-11-18	50
2015-11-19	65
2015-11-20	55
2015-11-21	44
2015-11-22	42
2015-11-23	41
2015-11-24	52
2015-11-25	41
2015-11-26	39
2015-11-27	63
2015-11-28	43
2015-11-29	39
2015-11-30	41
2015-12-01	50
2015-12-02	60
2015-12-03	44
2015-12-04	62
2015-12-05	51
2015-12-06	47
2015-12-07	57
2015-12-08	40
2015-12-09	45
2015-12-10	45
2015-12-11	51
2015-12-12	42
2015-12-13	38
2015-12-14	56
2015-12-15	38
2015-12-16	37
2015-12-17	42
2015-12-18	55
2015-12-19	54
2015-12-20	45
2015-12-21	48
2015-12-22	35
2015-12-23	56
2015-12-24	43
2015-12-25	43
2015-12-26	40
2015-12-27	47
2015-12-28	44
2015-12-29	38
2015-12-30	41
2015-12-31	35
2016-01-01	23
2016-01-02	23
2016-01-03	27
2016-01-04	40
2016-01-05	34
2016-01-06	46
2016-01-07	37
2016-01-08	37
2016-01-09	49
2016-01-10	33
2016-01-11	40
2016-01-12	34
2016-01-13	38
2016-01-14	37
2016-01-15	33
2016-01-16	40
2016-01-17	39
2016-01-18	26
2016-01-19	31
2016-01-20	38
2016-01-21	51
2016-01-22	40
2016-01-23	36
2016-01-24	26
2016-01-25	36
2016-01-26	38
2016-01-27	45
2016-01-28	39
2016-01-29	39
2016-01-30	46
2016-01-31	40
2016-02-01	40
2016-02-02	32
2016-02-03	38
2016-02-04	37
2016-02-05	49
2016-02-06	47
2016-02-07	45
2016-02-08	29
2016-02-09	47
2016-02-10	42
2016-02-11	46
2016-02-12	31
2016-02-13	34
2016-02-14	51
2016-02-15	33
2016-02-16	41
2016-02-17	25
2016-02-18	33
2016-02-19	44
2016-02-20	48
2016-02-21	43
2016-02-22	41
2016-02-23	31
2016-02-24	44
2016-02-25	44
2016-02-26	43
2016-02-27	37
2016-02-28	35
2016-02-29	47
2016-03-01	51
2016-03-02	43
2016-03-03	33
2016-03-04	53
2016-03-05	42
2016-03-06	45
2016-03-07	33
2016-03-08	51
2016-03-09	41
2016-03-10	50
2016-03-11	50
2016-03-12	31
2016-03-13	43
2016-03-14	66
2016-03-15	48
2016-03-16	38
2016-03-17	36
2016-03-18	54
2016-03-19	48
2016-03-20	32
2016-03-21	42
2016-03-22	47
2016-03-23	39
2016-03-24	47
2016-03-25	35
2016-03-26	39
2016-03-27	31
2016-03-28	38
2016-03-29	47
2016-03-30	47
2016-03-31	32
2016-04-01	44
2016-04-02	35
2016-04-03	42
2016-04-04	46
2016-04-05	41
2016-04-06	35
2016-04-07	33
2016-04-08	42
2016-04-09	36
2016-04-10	41
2016-04-11	45
2016-04-12	42
2016-04-13	38
2016-04-14	38
2016-04-15	37
2016-04-16	35
2016-04-17	48
2016-04-18	47
2016-04-19	27
2016-04-20	44
2016-04-21	51
2016-04-22	43
2016-04-23	33
2016-04-24	34
2016-04-25	48
2016-04-26	35
2016-04-27	45
2016-04-28	50
2016-04-29	37
2016-04-30	46
2016-05-01	43
2016-05-02	36
2016-05-03	33
2016-05-04	39
2016-05-05	29
2016-05-06	52
2016-05-07	41
2016-05-08	34
2016-05-09	36
2016-05-10	41
2016-05-11	39
2016-05-12	41
2016-05-13	45
2016-05-14	40
2016-05-15	39
2016-05-16	41
2016-05-17	52
2016-05-18	39
2016-05-19	35
2016-05-20	57
2016-05-21	42
2016-05-22	24
2016-05-23	50
2016-05-24	35
2016-05-25	42
2016-05-26	36
2016-05-27	40
2016-05-28	42
2016-05-29	39
2016-05-30	43
2016-05-31	45
